,file,name,status,date_signed,date_into_force,date_notification,end_implementation,partyisocode,composition,region,parties_wto,crossregional,language,chapter_count,article_count,word_count,average_WxA
10,pta_146.xml,Canada - Rep. of Korea,In Force,2014-09-22,2015-01-01,2015-01-20,2035-12-31,"['KOR', 'CAN']",Bilateral,North America; East Asia,Yes,Yes,en,25,310,60884,196.4
11,pta_152.xml,ASEAN - Japan,In Force,2008-03-26,2008-12-01,2009-11-23,2026-12-31,"['MMR', 'MYS', 'THA', 'IDN', 'BRN', 'LAO', 'KHM', 'PHL', 'VNM', 'SGP', 'JPN']",Bilateral; One Party is an RTA,East Asia,Yes,No,en,12,82,13460,164.14634146341464
12,pta_22.xml,Mexico - Northern Triangle,Inactive,2000-06-29,2001-03-15,2006-07-03,2012-12-30,"['HND', 'SLV', 'MEX', 'GTM']",Bilateral,Central America; North America,Yes,Yes,es,23,328,69671,212.41158536585365
13,pta_185.xml,Bulgaria - Turkey,Inactive,1998-07-11,1999-01-01,1999-05-04,,"['BGR', 'TUR', None]",Bilateral,Europe,Yes,No,en,5,42,4735,112.73809523809524
14,pta_191.xml,Central European Free Trade Agreement (CEFTA) - Accession of Romania,Inactive,1997-04-12,1997-07-01,1998-01-08,,"['SVN', 'CZE', 'SVK', 'ROU', None, 'POL', 'HUN']",Plurilateral,Europe,Yes,No,en,3,16,1216,76.0
15,pta_36.xml,Thailand - Australia,In Force,2004-07-05,2005-01-01,2004-12-27,2025-12-31,"['THA', 'AUS']",Bilateral,Oceania; East Asia,Yes,Yes,en,21,164,25403,154.89634146341464
16,pta_190.xml,Central European Free Trade Agreement (CEFTA) - Accession of Bulgaria,Inactive,1998-07-17,1999-01-01,1999-03-24,,"['SVN', 'BGR', 'CZE', 'SVK', 'ROU', None, 'POL', 'HUN']",Plurilateral,Europe,Yes,No,en,3,14,1332,95.14285714285714
17,pta_37.xml,US - Australia,In Force,2004-05-18,2005-01-01,2004-12-22,2023-12-31,"['USA', 'AUS']",Bilateral,Oceania; North America,Yes,Yes,en,25,248,59670,240.6048387096774
18,pta_23.xml,Dominican Republic - Central America - United States Free Trade Agreement (CAFTA-DR),In Force,2004-08-05,2006-03-01,2006-03-17,2025-12-31,"['USA', 'SLV', 'NIC', 'HND', 'DOM', 'GTM', 'CRI']",Plurilateral,Central America; Caribbean; North America,Yes,Yes,en,24,279,75647,271.1362007168459
19,pta_184.xml,Bulgaria - Slovenia,Inactive,1996-11-22,1997-01-01,1997-02-20,,"['SVN', 'BGR', None]",Bilateral,Europe,Yes,No,en,5,39,4486,115.02564102564102
20,pta_153.xml,EFTA - Colombia,In Force,2008-11-25,2011-07-01,2011-09-14,2027-12-31,"['ISL', 'COL', 'CHE', 'LIE', 'NOR']",Bilateral; One Party is an RTA,South America; Europe,Yes,Yes,en,15,147,26960,183.40136054421768
21,pta_147.xml,"ASEAN - Korea, Republic of",In Force,2006-08-24,2010-01-01,,2024-12-30,"['MMR', 'MYS', 'THA', 'IDN', 'BRN', 'KOR', 'LAO', 'KHM', 'PHL', 'VNM', 'SGP']",Bilateral; One Party is an RTA,East Asia,Yes,No,en,3,23,3997,173.7826086956522
22,pta_392.xml,EU - Ukraine,In Force,2014-06-27,2014-04-23,2014-07-01,2026-12-31,"['ESP', 'CYP', 'DEU', 'CZE', 'SVK', 'SWE', 'AUT', 'ROU', 'HUN', 'EST', 'BGR', 'LTU', 'LUX', 'DNK', 'FRA', 'GBR', 'MLT', 'SVN', 'PRT', 'BEL', 'IRL', 'NLD', 'UKR', 'FIN', 'POL', 'HRV', 'ITA', 'GRC', 'LVA']",Bilateral; One Party is an RTA,Europe; Commonwealth of Independent States (CIS),Yes,Yes,en,51,489,78163,159.84253578732105
23,pta_386.xml,Nicaragua - Chinese Taipei,In Force,2006-06-16,2008-01-01,2009-07-09,2022-12-31,"['NIC', 'TWN']",Bilateral,East Asia; Central America,Yes,Yes,en,26,277,52076,188.0
24,pta_437.xml,El Salvador - Cuba,In Force,2011-09-19,2012-08-01,2013-11-27,2012-12-30,"['SLV', 'CUB']",Bilateral,Caribbean; Central America,Yes,Yes,es,18,37,3994,107.94594594594595
25,pta_351.xml,Brunei Darussalam - Japan,In Force,2007-06-18,2008-07-31,2008-07-31,2023-12-31,"['BRN', 'JPN']",Bilateral,East Asia,Yes,No,en,13,124,23592,190.25806451612902
26,pta_345.xml,India - Malaysia,In Force,2011-02-18,2011-07-01,2011-09-06,2019-12-31,"['IND', 'MYS']",Bilateral,West Asia; East Asia,Yes,Yes,en,18,188,32039,170.42021276595744
27,pta_423.xml,Russian Federation - Kazakhstan,Inactive,1992-10-22,1993-06-07,2012-09-13,1993-12-31,"['RUS', 'KAZ']",Bilateral,Commonwealth of Independent States (CIS),Yes,No,en,3,25,2204,88.16
28,pta_379.xml,Rep. of Korea - New Zealand,In Force,2015-03-23,2015-12-20,2015-12-21,2034-12-31,"['NZL', 'KOR']",Bilateral,East Asia; Oceania,Yes,Yes,en,23,254,51164,201.43307086614172
29,pta_225.xml,EC - Lithuania,Inactive,1994-07-18,1995-01-01,1995-09-26,,"['ESP', 'PRT', 'BEL', 'IRL', 'LTU', 'DEU', 'LUX', 'NLD', 'DNK', 'FRA', 'GBR', 'ITA', None, 'GRC']",Plurilateral,Europe,Yes,No,en,8,52,5803,111.59615384615384
30,pta_231.xml,EC - Romania Europe Agreement,Inactive,1993-02-01,1995-02-01,1994-12-23,,"['ESP', 'PRT', 'BEL', 'IRL', 'NLD', 'DEU', 'LUX', 'DNK', 'FRA', 'GBR', 'ITA', 'ROU', 'GRC', None]",Plurilateral,Europe,Yes,No,en,19,127,15980,125.8267716535433
31,pta_219.xml,EEC - Greece Association Agreement,Inactive,1961-07-09,1962-11-01,1961-11-02,,"['BEL', 'NLD', 'DEU', 'LUX', 'FRA', 'ITA', None, 'GRC']",Plurilateral,Europe,Yes,No,en,10,79,10790,136.58227848101265
32,pta_227.xml,EC - Morocco Association Agreement of 1969,Inactive,1969-03-31,1969-09-01,1969-07-11,,"['BEL', 'NLD', 'DEU', 'LUX', 'MAR', 'FRA', 'ITA', None]",Plurilateral,Europe; Africa,Yes,Yes,en,4,19,1291,67.94736842105263
33,pta_233.xml,EC - Slovak Republic Europe Agreement,Inactive,1993-10-04,1995-02-01,1996-05-13,,"['ESP', 'PRT', 'BEL', 'IRL', 'NLD', 'DEU', 'LUX', 'DNK', 'SVK', 'FRA', 'GBR', 'ITA', None, 'GRC']",Plurilateral,Europe,Yes,No,en,18,124,15189,122.49193548387096
34,pta_409.xml,Southern Common Market (MERCOSUR) - Southern African Customs Union (SACU),In Force,2008-12-15,2016-04-01,2017-07-19,,"['BRA', 'ZAF', 'BWA', 'ARG', 'SWZ', 'LSO', 'URY', 'PRY', 'NAM']",Bilateral; All Parties are RTAs,South America; Africa,Yes,Yes,en,20,43,15697,365.04651162790697
35,pta_353.xml,Ukraine - Azerbaijan,In Force,1995-07-28,1996-09-02,2008-08-18,1996-12-30,"['AZE', 'UKR']",Bilateral,Commonwealth of Independent States (CIS),No,No,en,3,16,1564,97.75
36,pta_435.xml,India - Thailand,In Force,2003-10-09,2004-09-01,2017-06-18,,"['IND', 'THA']",Bilateral,West Asia; East Asia,Yes,Yes,en,3,16,2248,140.5
37,pta_421.xml,Russian Federation - Republic of Moldova,Inactive,1993-02-09,1993-03-30,2012-09-13,1993-12-31,"['RUS', 'MDA']",Bilateral,Commonwealth of Independent States (CIS),Yes,No,en,3,23,1989,86.47826086956522
38,pta_347.xml,Pakistan - Sri Lanka,In Force,2002-08-01,2005-06-12,2008-06-11,2011-12-31,"['PAK', 'LKA']",Bilateral,West Asia,Yes,No,en,3,19,2054,108.10526315789474
39,pta_390.xml,Costa Rica - Singapore,In Force,2010-04-06,2013-07-01,2013-09-16,2022-12-31,"['CRI', 'SGP']",Bilateral,Central America; East Asia,Yes,Yes,en,21,206,35248,171.10679611650485
40,pta_384.xml,China - New Zealand,In Force,2008-04-07,2008-10-01,2009-04-21,2019-12-31,"['CHN', 'NZL']",Bilateral,East Asia; Oceania,Yes,Yes,en,20,216,31862,147.50925925925927
41,pta_179.xml,Bulgaria - Israel,Inactive,2001-06-08,2002-01-01,2003-04-14,,"['BGR', None, 'ISR']",Bilateral,Europe; Middle East,Yes,Yes,en,5,43,4856,112.93023255813954
42,pta_151.xml,Japan - Australia,In Force,2014-07-08,2015-01-15,2015-01-12,2034-12-31,"['JPN', 'AUS']",Bilateral,Oceania; East Asia,Yes,Yes,en,22,276,47432,171.85507246376812
43,pta_145.xml,"EU - Korea, Republic of",In Force,2010-10-06,2011-07-01,2011-07-07,2031-12-31,"['ESP', 'CYP', 'DEU', 'CZE', 'SVK', 'SWE', 'AUT', 'ROU', 'HUN', 'EST', 'BGR', 'LTU', 'LUX', 'KOR', 'DNK', 'FRA', 'GBR', 'MLT', 'SVN', 'PRT', 'BEL', 'IRL', 'NLD', 'FIN', 'POL', 'HRV', 'ITA', 'GRC', 'LVA']",Bilateral; One Party is an RTA,Europe; East Asia,Yes,Yes,en,17,275,44179,160.6509090909091
44,pta_35.xml,Panama - Central America,In Force,2002-03-06,2003-04-11,2005-02-24,2013-12-31,"['PAN', 'SLV', 'NIC', 'HND', 'GTM', 'CRI']",Bilateral,Central America,Yes,No,es,24,252,56793,225.36904761904762
45,pta_192.xml,Central European Free Trade Agreement (CEFTA) - Accession of Slovenia,Inactive,1995-11-25,1996-01-01,1998-01-08,,"['SVN', 'CZE', 'SVK', None, 'POL', 'HUN']",Plurilateral,Europe,Yes,No,en,3,12,1224,102.0
46,pta_186.xml,Canada - US Free Trade Agreement (CUSFTA),Inactive,1988-01-02,1989-01-01,1989-01-27,,"[None, 'USA', 'CAN']",Bilateral,North America,Yes,No,en,23,151,27114,179.56291390728478
47,pta_21.xml,Jordan - Singapore,In Force,2004-05-16,2005-08-22,2006-07-07,2014-12-31,"['JOR', 'SGP']",Bilateral,Middle East; East Asia,Yes,Yes,en,10,73,11613,159.08219178082192
